IMAGE_ID,RAW_TEXT,PREDICTED_SKUs1,PREDICTED_SKUs2,PREDICTED_SKUs3,PREDICTED_SKUs4,PREDICTED_SKUs5,PREDICTED_SKUs6,PREDICTED_SKUs7,PREDICTED_SKUs8,PREDICTED_SKUs9,PREDICTED_SKUs10
00P4H00001mQ529UAC_Image_Response_a0Z4H00000axbUNUAY,Manhbano | Smoking | Smoking | ing | SMARTCORE | A | AVE | Marlboro | seriously harms | you and others | S | around you | gold | Martboro | Smoking | kir | seriously harms | Ils | you and others | around you | gold | Marlboro | SMART | gold | Smoking | Ville | MARLBORO | gold | Goid | DDF | 200s | AED 123 | USD 34.17 | We do not sell tobacco or nicotin | www.dubardutyfree.com | seriously | harms | you | and | others | around | AED | 123 | USD | 34.17 | not | sell | tobacco | nicotin,ROOFTOP GOLD,CHOICE RICH GOLD,LARK FF,SG AZUL,LARK ONE,ASSOS RED,DIANA BLU,L&M STORM,LARK BLUE,NEXT SNAP
00P4H00001mvAnHUAU_Image_Response_a0Z4H00000axbULUAY,du | Smoking | kills | White | FILTER | Marlboro | GREAD | FIRM FILTER | Marlboro | SMART | -SEAL | white | Marlboro SING | Smoking | ns | MARLBORO | rs | White | 400's | White | AED 244 | USD 67.78 | www.dubardutyfree.com | RIES. | تحذي | FIRM | AED | 244 | USD | 67.78,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001mQ4kpUAC_Image_Response_a0Z4H00000axbUOUAY,Man Horo | Mariboro | du | Marboro | Smoking | kills | gold | Maelbona | ONS | PIOB | SMART -SEAL | Marlboro | P106 | Marlboro | water word | -SEAL | SMART | CA | Smoking | is high | MARLBORO | addicti | Gold | 200s | DDF | AED 123 | USD 34.17 | www.dubaidutyfree.com | SMART | -SEAL | oking | sly harms | ind others | MARLBORO | Silver Blue | 200m | high | AED | 123 | USD | 34.17 | harms | Silver | Blue,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO,MARLBORO PRIME
00PdP0000006BKHUA2_Image_Response_a0Z4H00000axbUPUAY,Smoking | Ант | seriously | harms | NS | you and | others | around | you | SELECTED PREMIUM TOBACCOS | طب | Horo | Smoking | kills | MARLBORO | Red | ELECTED PREMIU | 600's | DDF | AED 350 | USD 97.22 | www.dubaidutyfree.com | and | SELECTED | PREMIUM | TOBACCOS | ELECTED | PREMIU | AED | 350 | USD | 97.22,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001mOsdWUAS_Image_Response_a0Z4H00000axbUPUAY,"king | Smok | I harms | others | kills | d you | gold | king | Smoking | y harms | d others | nd you | Marboro | kills | gold | SMAET | nua ЛОД | Marlboro | Smoking | seriously harms | you and others | M | king | around you | harms | gold | others | d you | Marlboro | Smoking | kills | gold | oking | kills, | MARLBORO | Gold | 200s | AED 123 | USD 34.17 | www.dubardutyfree.com | you | seriously | and | around | AED | 123 | USD | 34.17",MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO,MARLBORO PRIME
00PdP0000020SWIUA2_Image_Response_a0Z4H00000axbUNUAY,DUTY FRE | P | P | FIR ADULTUSE ONLY | EOULY | PARLIAMENT | PARLIAMENT | ORIGINAL RECESSED FILTER | ORIGINAL RECESSED™ FILTER | PARLIAME | Silver Blue | Silver Blue | ESTD | 1931 | (FIFTH AVENUE - NEW YORK | ESTD 1931 | FIFTH AVENUE NEW YORK | Smoking | PARLIAMENT Aqua Blue | Smoking | seriously harms | Tiring | Mention 1.1 | others | PARLIAMENT | d you | kills | Silver Blue | 200's | AED 139 | USD 38.61 | www.dubaidutyfree.com | ARLIAMENT | FRE | ORIGINAL | FILTER | Silver | Blue | NEW | YORK | FIFTH | AVENUE | Aqua | seriously | harms | you | AED | 139 | USD | 38.61,MARLBORO SILVER BLUE,L&M SILVER BLUE LABEL,MERIT FILTER,CRAVEN A ORIGINAL,MARK TEN ORIGINAL,CHOICE FILTER,L&M ORIGINAL LABEL,LARK BLUE,NEXT BLUE,BELMONT SILVER
00P4H00001muqSJUAY_Image_Response_a0Z4H00000axbUMUAY,FIRM FILTER | Marlboro | SMART | -SEAL | TM | HENDRESS | silver blue | Smoking | g | Mantharo | seriously harms | you and others | around you | silver blue | Mari1 | Marlhro | non | Manhoro | Smoking | kills | silver blue | Marchara | Smoking | seriously harms | you and others | around you | MARLBORO | Silver Blue | 200 | AED 128 | USD 35.56 | www.dubaidutyfree.com | touch | SELECTED FINE TOBACCOS | Harlborg | OK | U | Smoking | seriously harms | FIRM | FILTER | silver | blue | seriously | harms | you | and | others | around | Silver | Blue | AED | 128 | USD | 35.56 | SELECTED | FINE | TOBACCOS,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP0000021ws1UAA_Image_Response_a0Z4H00000axbULUAY,CARTONS | Murthurn | Smoking | kills | touch | that about | COO | Marlboro | Morris Brands | Marlboro | Are A | NS | DUTY FREE OCC | Smoking | kills | touch | ARTONS | Marthero | Smoking | kills | touch | MARLBORO | Touch | 400's | AED 234 | USD 65.00 | www.dubaidutyfree.com | boo | WA | Maribulo | FOR | -SEAL | FFM ALTER | touch | king | SELECTED FINE TOBACCOS | - Nico | - Instructions | y harm | a other | and you | AED | 234 | USD | 65.00 | FFM | SELECTED | FINE | TOBACCOS | harm | other | you,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP000003m3LGUAY_Image_Response_a0Z4H00000axbUJUAY,Tobacco | Zealand | garettes | LESSIN | Tobacco | esitate to approach | C1-C23 | f for further information | P | CARTON | Smoking | OFFER | PARLIAMENT | seriously harms | Silver Blue | you and others | ORIGINAL RECESSED™ FILTER | around you | ESTD 1931 | FIFTH AVENUE - NEW YORK | 2%FRI | P | Smoking | OFFER | PARLIAMENT | seriously harms | Silver Blue | you and others | ORIGINAL RECESSED FILTER | around you | ESTD 1931 | FIFTH AVENUE - NEW YORK | 2FUND | OFFER | Smoking | PARLIAMENT | seriously harms | Silver Blue | you and others | RECESSED | FILTER | around you | ESTD 1931 | FIFTH | PARLIAMENT | Silver Blue | 400's | AED 263 | USD 73.06 | UNDER | www.dubaidutyfree.com | CO or nicotine in any form to minors. | 18 | g | Platinum | seriously harms | MENT | RECESSED | approach | for | further | information | seriously | harms | Silver | you | and | others | ORIGINAL | RECESSED™ | around | ESTD | 1931 | YORK | Blue | AED | 263 | USD | 73.06 | nicotine | any | form | minors.,MARLBORO SILVER BLUE,L&M SILVER BLUE LABEL,MERIT FILTER,CHOICE FILTER,LARK BLUE,NEXT BLUE,BELMONT SILVER,ASSOS BLUE,MARLBORO SILVER,MERIT BLUE
00P4H00001nIytfUAC_Image_Response_a0Z4H00000axbUMUAY,"TEREA | Works only with icos ILUMA | This product is not risk free and | e. | contains nicotine, which is addictive. | TĒREA | TER | TEREA | Works only | Works only with ICOS ILUMA | Works only with IQOS ILUMA | This product is not risk f | This product is not risk free and | This product is not risk free and | contains nicotine, which is | contains nicotine, which is addictive. | contains nicotine, which is addictive. | TE | TEREA | TEREA | Works only with IQOS ILUMA | Works only with IQOS ILUMA | This product is n | This product is not risk free and | This product is not risk free and | contains | Works | only | with | ILUMA | This | product | not | risk | free | and | nicotine, | which | addictive. | IQOS",MERIT FILTER,CHOICE FILTER,MULTIFILTER RED,SG GIGANTE,CHESTERFIELD RED,LONGBEACH FILTER,CHESTERFIELD BLUE,CHESTERFIELD MILD,CHESTERFIELD REMIX,CHESTERFIELD WHITE
00P4H00001ll5mFUAQ_Image_Response_a0Z4H00000axbUMUAY,silver blue | Smoking | arour | ue no | seriously harms | erious | you and others | Smo | around you | om2 | Y: | have | BIJAGL | FILTER F | FIRM | Marlboro | SMART | silver blue | Smoking | seriously harms | MARLBORO | Hunro | you and others | Silver Blue | DDF | around you | 200s | DDF | EDDER blue | AED 123 | USD 34.17 | www.dubaidutyfree.com | silver | blue | seriously | harms | you | and | others | around | FILTER | Silver | Blue | AED | 123 | USD | 34.17,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP000000w3dRUAQ_Image_Response_a0Z4H00000axbUOUAY,"Works only with IQOS ILUMA | T | cont | This product is not risk free and | contains nicotine, which is addictive. | TEREA | Works only with IQOS ILUMA | Th | This product is not risk free and | conta | contains nicotine, which is addictive. | TEREA | TEREA | hi | oduct i | Th | tai | nicotin | Sienna | DDFconta | 200's | AED 150 | USD 41.67 | utyfree.com | www.dubaidutyfree.com | Works | only | with | IQOS | ILUMA | This | product | not | risk | free | and | nicotine, | which | addictive. | contains | oduct | AED | 150 | USD | 41.67",DUNHILL RED,L&M LOFT,NEXT RED,PHILIP MORRIS ONE,PHILIP MORRIS RED,L&M STORM,MERIT ONE,NEXT BLUE,NEXT SNAP,PHILIP MORRIS BLUE
00P4H00001lmLWDUA2_Image_Response_a0Z4H00000axbUJUAY,UN YOUR FAVOURITE | CARTON | PRODUCTS COLLECT THEM | OFFER | WHEN YOU RAVE | PARLIAMENT | 2 OFFER | Smoking | PARLIAMENT | DOR | seriously harms | was | Signature | you and others | around you | too - | - - - - | 2 ONE | Smoking | PARLIAMENT | seriously harms | Worke | you and others | fall de | around you | S | ? | 2 SPAR | PARLIAMENT | Aqua Blue | PARLIAMENT | 1qaBu | P | CARTON | OFFER | PARLIAMENT | Smoking | Aqua Blue | ORIGINAL | RECES | kills | PARLIAMENT | IFTH AVENUE | Platinum Blue | 400's | AED 252 | USD 70.00 | www.dubaidutyfree.com | Platinum | YOUR | PRODUCTS | seriously | harms | you | and | others | around | Aqua | Blue | AVENUE | AED | 252 | USD | 70.00,PARLIAMENT ONE,PARLIAMENT SSL,PARLIAMENT AQUA,PARLIAMENT BLUE,PARLIAMENT CARAT,PARLIAMENT NIGHT,PARLIAMENT HYBRID,PARLIAMENT LIGHTS,PARLIAMENT P BLUE,PARLIAMENT SILVER
00P4H00001mOyrhUAC_Image_Response_a0Z4H00000axbUOUAY,"Works | h IQOS ILUMA | Works only with IQ | ee and | This product is not risk free | This product is not ris | addictive. | contains nicotine, which is add | tains nicotine, which | S | HEETS | Only for | HEETS | YELLOW SELECTION | IQOS | IC | Only for | 3 DUO & ear | SILVER SELECTION | 3 DUO & earlier devices | IQOS | 3 DUO & earlier devices | t is not risk free and | This product is not risk free | contains nicotine, which is adc | ine, which is addictive. | This product is not risk free and | contains nicotine, which is addictive. | que Muicu | MPI | 1106 | MACH 12 | HEETS | HEETS | Only for | Only for | Only for | ILUMA | only | with | and | This | product | not | risk | free | ris | contains | nicotine, | which | add | tains | Only | for | YELLOW | SELECTION | SILVER | DUO & | earlier | devices",L&M FORWARD,LONGBEACH ORIGINAL YELLOW,L&M FORWARD BLUE,L&M DOUBLE FORWARD,CHOICE BLONDE,CHOICE FILTER,MARLBORO ADDITIVE FREE RED,MARLBORO ADDITIVE FREE BLUE,MARK TEN RICHE,MARLBORO MICRO
00P4H00001mPyoeUAC_Image_Response_a0Z4H00000axbUSUAY,"Smoking | Manhara | Smoking | seriously harms | seriously harms | ro | you and others | you and others | ns | rs | a | Manthoro blue | Smol | kill | silver | Smoking | rms | hers, | Marlburo | seriously har | you and othe | around you | ou | silver blue | Smoking | king | is | Maelboro | kills | silver blue | MARLBORO | Silver blue | 200's | AED 123 | USD 34.17 | www.dubaidutyfree.com | seriously | harms | you | and | others | blue | har | othe | around | Silver | AED | 123 | USD | 34.17",NEXT BLUE,BELMONT SILVER,MERIT BLUE,BELMONT BLUE,L&M BLUE LINE,NUMBER 7 BLUE,BELVEDERE BLUE,BOND STREET BLUE,CHESTERFIELD BLUE,SG FILTRO
00P4H00001lmKzCUAU_Image_Response_a0Z4H00000axbUOUAY,11 | U | okin | Sm | ious | arms | seri | u an | har | others | around | Marlburg | you a | you | other | aroun | you | double mix | ing | 3- | Smoking | sly | seriously | ns | harms | and | ers | und | Marthest | you and | others | around | OU | MARLBORO | vou | Double mix | 600's | poro capsules cartons and get 10% off | AED 346 | boro capsules cartons and get 15% off | USD 96.11 | Smoking causes early death الميكرة الوفاة يسيب التدخين | www.dubaidulyfree.com | double | mix | Double | capsules | cartons | get | 10% | off | AED | 346 | boro | 15% | USD | 96.11 | causes | early | death | الميكرة | الوفاة | التدخين,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP0000021cjoUAA_Image_Response_a0Z4H00000axbUMUAY,TO'OC OCO | www.dubaidutyfree.com | Smoking | se | LM | L&M Y | Smoking | kills | FINE TOBACCOS | FINELY CUT | SL&M 3 | CARTONS | L&M | Smoking | kills | FINE TOBACCOS | FINELY CUT | L&M | 3 CARTONS | LM | Blue | 600's | BLUE LABEL | AED 273 | of Phop Munta Products S.A. | USD 75.83 | L&M | www.dubaidutyfree.com | Smoking | seriously harms | you and others | FINE TOBACCOS | FINELY CUT | around you | L&M | Smoking | seriously harms | you and others | TOBACCOS | CUT | around you | FINELY | FINE | BLUE | LABEL | AED | 273 | USD | 75.83 | seriously | harms | you | and | others | around,LARK BLUE,NEXT BLUE,L&M RED,ASSOS BLUE,MERIT BLUE,L&M COOL,L&M LOFT,L&M GREEN,L&M STORM,MURATTI BLUE
00P4H00001mtFPxUAM_Image_Response_a0Z4H00000axbUNUAY,Smoking | seriously harms | as | you and others | 6 | around you | LUNA SHUFFLE | Marlboro | Smoking | kills | VISTA | blossom fusion | Marlboro | contains monthol | blossom fusion | Martboro | Smoking | seriously harms | you and others | around you | VISTA | blossom fusion | Marlboro | Smoking | kills | VISTA | blossom fusion | MARLBORO | Vista Blossom | 200's | AED 127 | USD 35.28 | www.dubaidutyfree.com | cmokina | seriously | harms | you | and | others | around | LUNA | SHUFFLE | blossom | fusion | Vista | Blossom | AED | 127 | USD | 35.28,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO LUNA SHUFFLE
00P4H00001mQr8iUAC_Image_Response_a0Z4H00000axbUJUAY,LIMITED COUTION | IQOS ILUMA | STARDRIFT | out OF TUTTE WORLD | L&M | Smoking | seriously harms | you and others | FINE TOBACCOS | around you | FINELY CUT | L&M | 3 CARTONS | L&M | Smoking | kills | FINE TOBACCOS | FINELY CUT | ALM 3 CARTONS | L&M | Smoking | seriously harms | you and others | FINE TOBACC | ground | MI 3 CARTONS | LM | Red | 600s | AED 257 | USD 71.39 | www.dubaadutyfree.com | RED LABEL | ICE | IQOS | ILUMA | WORLD | seriously | harms | you | and | others | FINE | TOBACCOS | around | FINELY | CUT | CARTONS | AED | 257 | USD | 71.39 | RED | LABEL,L&M RED,L&M COOL,L&M LOFT,NEXT RED,ASSOS RED,L&M GREEN,L&M STORM,L&M LIGHTS,PHILIP MORRIS SELECT TOBACCOS,DUNHILL RED
00PdP0000047t0gUAA_Image_Response_a0Z4H00000axbUSUAY,Davidoff | CIGARETTES | Marcium | Manil | - | SOL SHUFFLE | SOL SHUFFLE | mix of 3 capsules | SOL SHUF | SEAL | random mix of 3 capsules | Smoking | random mix of 3 Ca | seriously harms | Smoking | you and others | around you | seriously harms | 2017 | Smokin | you and others | 219 | around you | seriously ha | vou and oth | MARLBORO | around yo | Sol Shuffle Menthol | 200's | AED 132 | USD 36.67 | www.dubaidutyfree.com | Marlbo.ru | Marlboad | SOL | SHUFFLE | mix | capsules | SHUF | random | seriously | harms | you | and | others | around | oth | Sol | Shuffle | Menthol | AED | 132 | USD | 36.67,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001mvAnXUAU_Image_Response_a0Z4H00000axbUKUAY,P | PARLIAMENT | OR | PARLIAMENT | ORIGINAL RECESSED™ FILTER | ORIGINAL RECESSED FILTER | Aqua Blue | Aqua Blue | AMENT | FIFTH | ESTD 1931 | FIFTH AVENUE - NEW YORK | ESTD 1931) | FIFTH AVENUE NEW YORK | Smoking | Smoking | PARLIAMENT | Sm | seriously harms | seriously harms | you and others | A | you and others | arou | PARLIAMENT | around you | Aqua Blue | 200's | AED 139 | USD 38.61 | حت | L&M | www.dubandutyfree.com | RED LABEL | SHOLEYO | L&M | Liggert My | RED LABEL | L&M | Smoking | seriously harms | you and others | FINE TOBACCOS | LM | 3 CARTONS | FINELY CUT | around you | 3 CARTO | L&M | Smoking | LM | S | Red | RLM 3 CARTONS | FINE TOBACCOS | FINELY CUT | 600's | AED 273 | L&M | 3 | CARTONS | ORIGINAL | FILTER | RECESSED | Aqua | Blue | ESTD | 1931 | NEW | YORK | AVENUE | seriously | harms | you | and | others | around | AED | 139 | USD | 38.61 | RED | LABEL | FINE | TOBACCOS | FINELY | CUT | CARTO | 273,MERIT FILTER,CHOICE FILTER,NEXT BLUE,L&M RED,MERIT BLUE,L&M COOL,L&M LOFT,NEXT RED,L&M GREEN,NUMBER 7 BLUE
00PdP000003lcUnUAI_Image_Response_a0Z4H00000axbUPUAY,www.dubaidutyfree.com | Startbaro | Smoking | kills | White | Smoking | g | kills | white | CARTONS | Smoking | rms | ers | ou | Marlboro | kills | MARLBORO | White | 400's | AED 244 | USD 67.78 | www.dubaidutyfree.com | AED | 244 | USD | 67.78,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO MICRO,MARLBORO PRIME,MARLBORO RED B,MARLBORO WIDES
00PdP0000021dnpUAA_Image_Response_a0Z4H00000axbULUAY,"EDITION | TEREA | anita WITH CO HUMA | This p | This product is not risk free and | contains nicotine, which is addictive. | contains | TEREA | Works only with IQOS ILUMA | HT | This pr | This product is not risk free and | strac | contains nicotine, which is addictive. | contains r | TEREA | with IQOS ILUMA | TEREA | ree and | This proc | Bronze | DDF addictive. | contains nic | 200's | AED 150 | USD 41.67 | www.dubaidutyfree.com | This | product | not | risk | free | and | nicotine, | which | addictive. | Works | only | with | IQOS | ILUMA | ree | AED | 150 | USD | 41.67",L&M GREEN,NEXT GREEN,MARLBORO RED TITANIUM EDITION,L&M GREEN LINE,MARLBORO GREEN,NUMBER 7 GREEN,BOND STREET RED,L&M GREEN LABEL,L&M LIGHTS,LARK LIGHT
00P4H00001mQ5JfUAK_Image_Response_a0Z4H00000axbUPUAY,"ONS | hite | don't start | addictive, | Marth | JJULL your | is highly | touch | Smoking | eratted Special | TOBACCO | du | ENDER | Smoking | Mar | Magiburo | kills | to | CARTONS | Smoking | seriously harms | MARLBORO | EST | aroun | Touch | touch | touch | 400 | AED 220 | USD 61.11 | www.dubardutyfree.com | die | yanoa | Marlboro | SOLUD 1 - | صحمه | seriously harms | you and others | around you | don't | start | highly | seriously | harms | AED | 220 | USD | 61.11 | you | and | others | around",MARLBORO TOUCH,MARLBORO WHITE,MARLBORO TOUCH ONE,MARLBORO FINE TOUCH,MARLBORO GOLD TOUCH,MARLBORO TOUCH AQUA,MARLBORO TOUCH BLUE,MARLBORO TOUCH GRAY,MARLBORO MIX,MARLBORO ONE
00PdP000006BDt1UAG_Image_Response_a0Z4H00000axbULUAY,WWW | urlboro | Marlboro | double ice | double ice | Smoking | oorlan | harms | MARLBORO | Double Ice | you | 200's | ar | AED 132 | USD 36.67 | www.dubaidutyfree.com | SMOKE | SMELL | CONTROL | double | ice | Double | Ice | AED | 132 | USD | 36.67,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001mQ5KUUA0_Image_Response_a0Z4H00000axbUNUAY,"EREA | TEREA | Works only with IBOSHUMA | Works only with icos ILUMA | TARBA | Works only with ICOS ILUMA | is not risk free and | Id | ne, which is addictive | This product is not risk free and | GG | contains nicotine, which is addictive. | MUICH 12 aquicate | LIDY | E 12 110 U2K ILGS suq | evitoibbe iج dolilw anitooin enistration | blogner 2 USE цек tlee gua | bns sent ton ai touboig eidT | VIL | TEREA | co | FWO 71 sooi O | TEREA | EA | TEREA | Works only with IQOS ILUMA | AMBER | DDF | ith IQOS ILUMA | T | 200's | DDFDDFD t risk free and | cont | ree and | ich is addictive. | Works | only | with | ILUMA | not | risk | free | and | which | addictive | This | product | contains | nicotine, | addictive. | gua | ton | eidT | IQOS | ith | ree | ich",MARLBORO AMBER,L&M GREEN,CHOICE AMBER BURST,L&M COOL,MARLBORO AMBER BURST,L&M GREEN LINE,MARLBORO GREEN,NUMBER 7 GREEN,L&M GREEN LABEL,CHOICE RICH GOLD
00P4H00001mR3MAUA0_Image_Response_a0Z4H00000axbURUAY,200720 FILTER | Marlboro | CIGARETTES | для | Marlboro | flavorinki | flavor-mix | TVG | (01 07822100912705 | (21)P49ZPF0XJA5M | 1240JFA072446 01 | (01) 07622100912705 | TA42323618 | (21)NE8TZVEVA95J (240)FA07244601 | Smoking | Marlboro | ManHboro | kills | flavor mix | XIM | taste | consistent | to | risport | perience | om | flip-top box | ROOME | ILT | Un | pack | AL | A consistent | In a from Soft-Touch start taste | experience | to | finish. | flip-top box | ILT TA STE | pack | Manthoro | Smoking | seriously harms | you and others | around you | Munthum MARLBORO | Smoking | KIIIS | Flavor Mix | 200's | AED 127 | USD 35.28 | www.dubaidutyfree.com | flavor | mix | box | from | Soft-Touch | start | seriously | harms | you | and | others | around | MARLBORO | Flavor | Mix | AED | 127 | USD | 35.28,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001lky0vUAA_Image_Response_a0Z4H00000axbUSUAY,Marlboro | Smoking | paixoma | seriously harms | Smile ylau | you and others | bns | around you | JOY bauo | gold | rms | Marlboro | Smoking | paillon | ers | kills | ellik | u | gold | Marlboro | Smoking | seriously harms | SMY | you and others | 12ح | around you | U | gold | Marioro | Marll Gold | Smoking | seriously harms | MARLBORO | around you | 200's | gold | AED 123 | USD 34.17 | www.dubaidutyfree.com | seriously | harms | you | and | others | around | Gold | AED | 123 | USD | 34.17,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001lkx9IUAQ_Image_Response_a0Z4H00000axbUQUAY,Marlbor | Marlbo | Mariboro | author | Marlb | double fusi | Marlboro | summer | Smoking | seriously harn | Smok | Smokers | you and other | around you | die | die | young | younger | Marlboro | MARLBORO | 5.28 | Double Fusion | Smoking | 200's | kills | AED 127 | USD 35.28 | www.dubaidutyfree.com | VEREA | work | double | fusi | harn | you | and | other | Double | Fusion | AED | 127 | USD | 35.28,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001lkxpSUAQ_Image_Response_a0Z4H00000axbUNUAY,Smoking | when | pregnant | harms | Marthouse | your baby | double mix | 3 | Smoking | seriously | harms | Marlbor | you and | you | others | MARLBORO | und | DoubleMix | ou | 600 | double mi | AED 346 | USD 96.11 | your | baby | double | mix | and | AED | 346 | USD | 96.11,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO DOUBLE MIX,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN
00PdP0000047UX7UAM_Image_Response_a0Z4H00000axbUJUAY,OFFER | PARLIAMENT | Smoking | Aqua Blue | ORIGINAL RECESSED FILTER | kills | ESTD 1931 | FIFTH AVENUE - NEW YORK | 2 OFFER | P | Smoking | PARLIAMENT | seriously harms | OIL | Aqua Blue | you and others | ORIGINAL RECESSED™ FILTER | around you | ESTD 1931 | FIFTH AVENUE - NEW YORK | P | Smoking | 2 | 2 | OFFER | PARLIAMENT | seriously harms | Aqua Blue | you and others | ORIGINAL RECESSED FILTER | around YOU | PARLIAMENT | Aqua Blue | 400's | AED 263 | USD 73.06 | www.dubaidutyfree.com | PARLIAMENT | PARLIAMENT | PHIL | Aqua | Blue | ORIGINAL | FILTER | ESTD | 1931 | FIFTH | YORK | seriously | harms | you | and | others | around | AVENUE - | NEW | AED | 263 | USD | 73.06,PARLIAMENT ONE,PARLIAMENT SSL,PARLIAMENT AQUA,PARLIAMENT BLUE,PARLIAMENT CARAT,PARLIAMENT NIGHT,PARLIAMENT HYBRID,PARLIAMENT LIGHTS,PARLIAMENT P BLUE,PARLIAMENT SILVER
00P4H00001msvMaUAI_Image_Response_a0Z4H00000axbULUAY,PHILIP MORRIS | Smoking seriously harms you | and others around you | 900 | 950 | Лал | MORRIS PHILIP MORRIS PHIUP MORRIS | MORRIS PHILIP MORRIS PHILIP MORRIS | MOR | PM | MORRIS PHILIP MORRIS PHIUP MORRIS | MO | MORRIS | SAMPLE WIC | MORRIS PHILIP MORRIS PHILIP MORRIS | MORRIS PHILIP NO | MORRIS | PHILIP MORRIS | ILIP MORRIS | MORRIS | THE MORRIS | the PHIUP MORRIS PHILIP MORRIS | Smoking seriously harms you | and others around you | PHILIP MORRIS | PHILIP | the | was | PM | PHILIP | MORRIS | the | 123RF | PHILIP MORRIS | Smoking causes ageing | of the skin | PM | PHILIP MORRIS | Smoking Ca | PHILIP MORRIS | and pai | Supreme | 200's | AED 128 | USD 35.56 | www.dubardulyfree.com | Smoking | seriously | harms | you | and | others | around | causes | ageing | skin | pai | AED | 128 | USD | 35.56,PHILIP MORRIS ONE,PHILIP MORRIS RED,PHILIP MORRIS BLUE,PHILIP MORRIS CAPS,PHILIP MORRIS BLEUE,PHILIP MORRIS CLASSIC,PHILIP MORRIS QUANTUM,PHILIP MORRIS SUPREME,PHILIP MORRIS CAPS DUO,PHILIP MORRIS PRONEX ONE
