TERM,TERM_TYPE,TERM_LENGTH
NEVADA SILVER,COMBINED,13
RED LINE COMPACT EXTRA WHITE,COMBINED,28
ESSENZE WILD,COMBINED,12
ROTHMANS SIGNATURE GOLD,COMBINED,23
DIPLOMAT DE LUXE,COMBINED,16
DENIM RED,COMBINED,9
KEOPS BRUN,COMBINED,10
APOLLO-SOYUZ A-18,COMBINED,17
MEVIUS SKY BLUE SLIM,COMBINED,20
BOSTON MILDS,COMBINED,12
G.3 WHITE,COMBINED,9
TEMEISI FIREWORK-RED,COMBINED,20
CAESAR LIGHTS,COMBINED,13
DU MAURIER PRESTIGE,COMBINED,19
ORMOND JUNIOR,COMBINED,13
RUSH DEEP FREEZE S5,COMBINED,19
ZYN 2X COOL MINT S2,COMBINED,19
IGNITE WATERMELON ICE 4K,COMBINED,24
VERMONT SKY BLUE,COMBINED,16
FLEUR DU PAYS NO.6,COMBINED,18
PARISIENNE JAUNE,COMBINED,16
EXCITE BLUE,COMBINED,11
PAYASOS -,COMBINED,9
ACAPULCO YELLOW,COMBINED,15
WIND FLAVOR,COMBINED,11
LD (RED),COMBINED,8
AVALON DEMI CLICK RED,COMBINED,21
CANADIAN CLASSICS RESERVE,COMBINED,25
LD GREEN MENTHOL,COMBINED,16
GOTEBORGS RAPE LINGON,COMBINED,21
ELIXYR MENTHOL,COMBINED,14
MARLBORO WHITE (2.0),COMBINED,20
B (RED),COMBINED,7
IQOS (CARRY C 2.4P NAVY),COMBINED,24
COOPER (BLUE),COMBINED,13
VIRGINIA S. NEW,COMBINED,15
UNBRANDED ONE SIL SLEEVE TURQUOISE,COMBINED,34
RGD PINK,COMBINED,8
CAPTAIN BLACK CLASSIC,COMBINED,21
VELTA SPECIAL,COMBINED,13
KENT SURROUND (GREY),COMBINED,20
HB CLASSIC BLEND,COMBINED,16
ESSEBIO MENTHOL,COMBINED,15
VELTA CLASSIC,COMBINED,13
HIGHWAY HALFZWARE,COMBINED,17
FIVE OXEN (GOLD-GREEN),COMBINED,22
DIBORO HAMI MELON MENTHOL 5MG,COMBINED,29
VEEV DISCOVERY COLLECTION (11MG),COMBINED,32
DANNEMAN FILTER,COMBINED,15
POOF GREEN,COMBINED,10
DUNHILL SWITCH (NEON BLUE),COMBINED,26
HELIKON AMETISZT KEK,COMBINED,20
GAULOISES DISQUE BLEU,COMBINED,21
ELEGANCE MAX,COMBINED,12
414 DWITUNGGAL,COMBINED,14
DUMMY ALIEN INVASION,COMBINED,20
VIVO NEXXT STRAWBERRY ICE CREAM 20MG,COMBINED,36
PALL MALL ATHENS NIGHTFALL,COMBINED,26
DUNHILL NEOSTIKS BOOST,COMBINED,22
LUCKY STRIKE AUTHENTIC TOBACCO (RED),COMBINED,36
DUCAL PLUS,COMBINED,10
GOLD FLAKE MIX POD,COMBINED,18
BLACK JACK SUPA SAWA PINEAPPLE 8,COMBINED,32
MILLION -,COMBINED,9
ARCTICA SVETLIYE,COMBINED,16
VELO TROPICAL ICE,COMBINED,17
UP BERRY,COMBINED,8
JIN LING (YELLOW),COMBINED,17
GOLD FLAKE -,COMBINED,12
LD GOLD,COMBINED,7
BRITON FULL FLAVOUR,COMBINED,19
SUMMIT LIGHTS,COMBINED,13
FINE BRUNE,COMBINED,10
LAVIE BAR COTTON CANDY,COMBINED,22
PREMIER 20 EXTRA SUAVE,COMBINED,22
ELIXYR HALFZWARE,COMBINED,16
MAC BAREN AROMATIC CHOICE,COMBINED,25
DANIBRAND 1,COMBINED,11
CORSET WHITE A PORTER,COMBINED,21
GLO HYPER X2 AIR VELVET PINK,COMBINED,28
IQOS ILUMA ALU DOOR AZURE BLUE,COMBINED,30
PRIMA SILVER LIGHTS,COMBINED,19
WINSTON ADDITIVE FREE (BLUE),COMBINED,28
HEETS (GREEN),COMBINED,13
FORTUNE ULTRA MILD,COMBINED,18
ROXBORO INTERNATIONAL,COMBINED,21
YAVA EXPORT GRAPHITE,COMBINED,20
SPEED -,COMBINED,7
CAPITAN -,COMBINED,9
SOBRANIE TEAL,COMBINED,13
WALTER WOLF LIGHTS,COMBINED,18
DOUBLE HAPPINESS -,COMBINED,18
MERILYN SLIMS (BLUE),COMBINED,20
MENARA GADING LIGHTS,COMBINED,20
LA PAZ EXTRA,COMBINED,12
LOGIC COMPACT CHERRY 6MG,COMBINED,24
PALL MALL EXTRA CUT,COMBINED,19
PIANISSIMO AROMATIC PETIL 1,COMBINED,27
PRIMA OPTIMA SUPER LIGHTS,COMBINED,25
HIS -,COMBINED,5
P20 (BLUE),COMBINED,10
POLO SLIMS GREY,COMBINED,15
ELFBAR EPP APPLE PEACH 20MG,COMBINED,27
SELECT SILVER,COMBINED,13
BLACK DEVIL GREY,COMBINED,16
CAMEL SHIFT,COMBINED,11
WINNSBORO PREMIUM,COMBINED,17
CAMEL COMPACT ACTIVATE MELON TOUCH,COMBINED,34
LIL SOLID ES MINT CAP,COMBINED,21
THE TURNER ZWARE,COMBINED,16
RED DOG CLASSIC,COMBINED,15
VEEV NOW ICE MINT 1.8% 2ML,COMBINED,26
MATTEO DOHÁNY,COMBINED,13
PALL MALL EXTRA KINGS MENTHOL,COMBINED,29
BATTON FREE (RED),COMBINED,17
PROVO BLENDED,COMBINED,13
LUCKY STRIKE SUPERSLIMS,COMBINED,23
MONTE CARLO (RED),COMBINED,17
DUCAL SUPER MILD,COMBINED,16
DETROIT OTHER,COMBINED,13
IQOS (CAP 2.4 RED),COMBINED,18
SELESTA AMERICAN BLEND,COMBINED,22
KENT SLIMS GREY LONG,COMBINED,20
GLADIATOR SLIMS LUXE,COMBINED,20
KENT NANOTEK 2.0 4,COMBINED,18
PALL MALL LONGS FLOW PURPLE,COMBINED,27
SUPERKINGS -,COMBINED,12
AMBER LEAF VIRGINIA,COMBINED,19
KENT ROYAL BLUE,COMBINED,15
LATINO (RED),COMBINED,12
PARLIAMENT P (BLUE),COMBINED,19
CASTER SUPER MILD,COMBINED,17
DRINA JEDINA,COMBINED,12
NEW TIMES BLACK,COMBINED,15
GLO (SILVER),COMBINED,12
SWEET CAPORAL PLAIN,COMBINED,19
VIVO NEXXT BLUEBERRY ICE 20MG,COMBINED,29
VEEV AMBER,COMBINED,10
KENT HD 8,COMBINED,9
DERBY (BLUE),COMBINED,12
MORE SLIMS,COMBINED,10
HEETS YUGEN,COMBINED,11
CAPSTAN ORIGINAL NAVY CUT,COMBINED,25
DERBY AZUL MAR SPECIAL,COMBINED,22
ESSE SPECIAL EDITION,COMBINED,20
PEACE SMOOTH AROMA,COMBINED,18
CARTIER LUXURY MILD,COMBINED,19
MIETA LOVE STANDARD COLA ICE 0MG,COMBINED,32
VICEROY SWITCH,COMBINED,14
WINSTON HIGH MENTHOL,COMBINED,20
PARK DRIVE -,COMBINED,12
WINSTON FINE LINE BLUE,COMBINED,22
AQA LIGHTS,COMBINED,10
COOPER (SILVER),COMBINED,15
DAVIDOFF EVOLVED POLAR MIST,COMBINED,27
PRIMA SRIBNA CHERVONA,COMBINED,21
HUNGARIA (LIGHT BLUE),COMBINED,21
DALLAS EXTRA SUAVE,COMBINED,18
CHEE TAH (BLUE),COMBINED,15
SKL CHERRY,COMBINED,10
GLORIA SUPER SLIMS,COMBINED,18
GENER -,COMBINED,7
PETER JACKSON HYBRID,COMBINED,20
ON CITRUS S3,COMBINED,12
GLAMOUR AROMA EXPRESSION,COMBINED,24
CIGARONNE XL (WHITE),COMBINED,20
PIRVELI NANOBLACK,COMBINED,17
GAULOISES MELANGE ORIGINAL,COMBINED,26
PRIMA LUX SELECTION NO 5,COMBINED,24
NEW NEO JUICY BOOST,COMBINED,19
FLOW LYCHEE ICE INFINITY 5K,COMBINED,27
NEXT FINE FLAVOR,COMBINED,16
CRISTAL(TUN) EXTRA,COMBINED,18
YAVA WHITE GOLD ORIGINAL,COMBINED,24
STERLING -,COMBINED,10
MYBLU ROASTED BLEND 18MG,COMBINED,24
DATSION -,COMBINED,9
ZYN CLASSIC 3MG,COMBINED,15
SAMARSKIE LIGHTS,COMBINED,16
MERCURY -,COMBINED,9
BENSON & HEDGES INTERNATIONAL,COMBINED,29
BOSS RED,COMBINED,8
VOZOL GEAR LYCHEE GUAVA WATERMELON,COMBINED,34
MACROPOLO PRINCE,COMBINED,16
RAFFLES KING,COMBINED,12
SAMPOERNA HIJAU ORIGINAL,COMBINED,24
DERRINGER PEACH,COMBINED,15
POLUS PURPLE STAR,COMBINED,17
SENAPAN -,COMBINED,9
VEEV NOW MAUVE 1.8% 5ML,COMBINED,23
LUCKY STRIKE COOL SWITCH,COMBINED,24
MEVIUS OPTION2 PURPLE,COMBINED,21
DERBY EXOTICO,COMBINED,13
PEACE INFINITY,COMBINED,14
EXPORT A MEDIUM PLUS,COMBINED,20
ORIS INTENSE PURPLE FIZZ,COMBINED,24
GLO HYPERX2 PRECIOUS SILVER,COMBINED,27
WINSTON CODE WHITE,COMBINED,18
EXO FRESH MINT,COMBINED,14
NUMBER 7 ROLLS 100% MORE,COMBINED,24
MAC BAREN AMERICAN CLASSIC,COMBINED,26
ISHTAR FULL FLAVOUR,COMBINED,19
XEIS FULL TASTE,COMBINED,15
KNOX STARK WHITE,COMBINED,16
SAMARSKIE (RED),COMBINED,15
SWING SUAVES,COMBINED,12
SKRUF NORDIC WHITE S2,COMBINED,21
7 NOVEMBRE -,COMBINED,12
VILLIGER KIEL,COMBINED,13
D&J FULL FLAVOR,COMBINED,15
THE ONE GOLD LABEL,COMBINED,18
GUI YAN (YELLOW),COMBINED,16
KRONON (YELLOW),COMBINED,15
LUCKY STRIKE MAX+ (BLUE),COMBINED,24
AROMA KING STANDARD 700 COLA ICE 20MG,COMBINED,37
TONINO LAMBORGHINI (BLACK),COMBINED,26
GEEKVAPE AEGIS BOOST PRO 21700,COMBINED,30
SALEM ALASKA,COMBINED,12
BENSON & HEDGES MAX,COMBINED,19
GOLDEN BRIDGE BOX,COMBINED,17
KAPTEN MINT 2,COMBINED,13
LUCKY STRIKE RICH ORIG,COMBINED,22
FRED BLUE,COMBINED,9
STLTH 25 MINT,COMBINED,13
LOUXOR VOLUME,COMBINED,13
CUBA (RED),COMBINED,10
PURE PRODUCTION CBD VAPE WATERMELON CRUSH 3%,COMBINED,44
APOLLO-SOYUZ SPECIAL LIGHTS,COMBINED,27
BIANCA SELECTION ROSE,COMBINED,21
PREMIER POINT,COMBINED,13
FORM EXTRA LIGHT,COMBINED,16
IQOS ILUMA DOOR TURQUOISE AOKI EDITION,COMBINED,38
BENTOEL INTERNATIONAL BLUE RED,COMBINED,30
SUKET SUPER,COMBINED,11
RUSH -,COMBINED,6
BLUFF STANDARD BLUEBERRY ICE 20MG,COMBINED,33
APRIL ONE,COMBINED,9
ZYN PEPPERMINT 11MG,COMBINED,19
928 SPECIAL,COMBINED,11
IQOS COLORED CAP MIX,COMBINED,20
VOGUE BY ROTHMANS ONE,COMBINED,21
MAXIM CLASSIC (DARK BLUE),COMBINED,25
KARELIA SLIMS LIGHTS,COMBINED,20
COOPER INTERNATIONAL (SILVER),COMBINED,29
MAHAYANA -,COMBINED,10
SILK CUT RICH TASTE,COMBINED,19
WISMILAK LIGHTS,COMBINED,15
LIGHTHOUSE MENTHOL,COMBINED,18
NEVOKS PAGEE,COMBINED,12
GANDRUNG -,COMBINED,10
MARLBORO GOLD S-LINE,COMBINED,20
AXEL SUPER LIGHTS,COMBINED,17
MR FOG TOBACCO 8ML,COMBINED,18
ARCTICA EXPORT POLAR DAY,COMBINED,24
MEVIUS PREMIER SKY BLUE,COMBINED,23
BUNTING -,COMBINED,9
PRIMA OPTIMA CHERVONA,COMBINED,21
ARISTA LIGHTS,COMBINED,13
ALTAN SHONKHOR PREMIUM,COMBINED,22
ID INTENSE,COMBINED,10
GOLD FLAKE FRUIT SWITCH,COMBINED,23
CRYSTAL STANDARD FRESH MENTHOL MOJITO 0MG,COMBINED,41
LF DRIVE,COMBINED,8
FOUR SQUARE CLOVE CHARGE,COMBINED,24
KLEDTHONG VIRGINIA,COMBINED,18
RELX RASPY RUBY 1.8%,COMBINED,20
APACHE VAINILLA,COMBINED,15
PALL MALL EXACTOS (BLUE),COMBINED,24
VAPTIO SOLO 2,COMBINED,13
RICHARD YELLOW,COMBINED,14
IPUFFER STANDARD MINT 20MG,COMBINED,26
N ONE STANDARD BLACK ICE 20MG,COMBINED,29
CAMEL PREMIUM,COMBINED,13
WHOOP STANDRAD WATERMELON ACAI 20MG,COMBINED,35
VEEV ONE BLUE RASPBERRY 1.6%,COMBINED,28
KENT S-SERIES 5,COMBINED,15
GEEKVAPE AEGIS HERO 2,COMBINED,21
VELO PLUS PEPPERMINT 6MG,COMBINED,24
PETER STUYVESANT LIGHT & MILD,COMBINED,29
YORK NEO BLUE,COMBINED,13
BEST (3 MG),COMBINED,11
DELICADOS OSCUROS,COMBINED,17
JOKER -,COMBINED,7
POLUS BROWN STAR,COMBINED,16
HORIZON YELLOW,COMBINED,14
HUNGARIA MENTHOL,COMBINED,16
IQOS 3 CAP MINT,COMBINED,15
BENSON & HEDGES UNO FRESH,COMBINED,25
IASI -,COMBINED,6
IVG SUMMER BLAZE 6MG,COMBINED,20
VESTA 1,COMBINED,7
BLACK BIRD HALFZWARE,COMBINED,20
LUCKY STRIKE OHNE ZUSAETZE (BLUE),COMBINED,33
IQOS ILUMA DECO PATCH PINK MINERA,COMBINED,33
LAURENS EXTRA,COMBINED,13
LUNDGRENS DUNGE S2,COMBINED,18
MEVIUS PREMIUM MENTHOL FROZEN 1,COMBINED,31
MEVIUS PREMIUM MENTHOL 1,COMBINED,24
DUNHILL MENTHOL,COMBINED,15
PALL MALL ZEST BURST,COMBINED,20
LEGEND SMOOTH,COMBINED,13
VELO BLUSHY BERRY S2,COMBINED,20
PIELROJA -,COMBINED,10
DONTABAK COMPACT BLUE,COMBINED,21
SOBRANIE CITRUS MINT,COMBINED,20
ACCORD (GREEN),COMBINED,14
ARARAT GOLD LINE,COMBINED,16
NEO DEMI TERRACOTTA TOBACCO,COMBINED,27
AMERICAN BLUE -,COMBINED,15
REIG MINOR,COMBINED,10
NAVY BLENDED,COMBINED,12
LIQUN -,COMBINED,7
PHILIP MORRIS CLASSIC,COMBINED,21
REDMONT BLACKCURRANT,COMBINED,20
VELO CRISPY PEPPERMINT 10MG,COMBINED,27
WESTPOINT AMERICAN BLEND,COMBINED,24
POKER -,COMBINED,7
WILLS CLASSIC FINE TASTE,COMBINED,24
NEWBORN RED,COMBINED,11
FREE ULTRA LIGHTS,COMBINED,17
FIIT REGULAR SILVER,COMBINED,19
ZYN COFFEE 6MG,COMBINED,14
YOOP SUNSET KUSH 8%,COMBINED,19
LONGBEACH FINESSE YELLOW,COMBINED,24
ZIG-ZAG BLACK STINGER,COMBINED,21
JOSH -,COMBINED,6
BEIJING (WHITE-RED),COMBINED,19
BENSON & HEDGES VOLUTE,COMBINED,22
LD LAB RUBY BEAT,COMBINED,16
THE KING ICE,COMBINED,12
BLUE RIBBON SUPER,COMBINED,17
"KARELIA THE ""S"" CIGARETTE",COMBINED,25
VUSE EPOD NICSALT PEPPERMINT 12MG,COMBINED,33
HAWK EYE CLOVE UNION,COMBINED,20
CRAVEN A ORIGINAL,COMBINED,17
DAVIDOFF SL-LINE GOLD,COMBINED,21
MEVIUS OPTION FIZZY GOLD 1,COMBINED,26
CAMEL COMPACT 6,COMBINED,15
ZONE X FRESH S3,COMBINED,15
NUMBER 7 LIGHTS ROLLS 65% MORE,COMBINED,30
RGD FLAME,COMBINED,9
PRIMA LUX BLUE,COMBINED,14
LONGBEACH SELECT WHITE FRM,COMBINED,26
CAMEL (WHITE),COMBINED,13
SOAK Q CUSTARD STICKS 2%,COMBINED,24
AGIO SWEET,COMBINED,10
ZONE SPEARMINT 6MG,COMBINED,18
KAPTEN 04 LINGON,COMBINED,16
APSNY EXCLUSIVE,COMBINED,15
UNDEFINED UNFLAVORED,COMBINED,20
PLAY CLASSIC,COMBINED,12
MEVIUS EVO BLUE LSS,COMBINED,19
DINGLER'S RYO ORIGINAL,COMBINED,22
STYLE SELECTION ROSE,COMBINED,20
ZOLOTOE KOLTSO CLASSIC,COMBINED,22
KAPTEN WHITE MINT STRONG,COMBINED,24
ZONE X COLD BLAST S4,COMBINED,20
BENSON & HEDGES ORANGE,COMBINED,22
ORIS PEACE WHITE,COMBINED,16
GEORGIAN STAR (BLUE),COMBINED,20
LD SLENDER BLUE,COMBINED,15
CASTER CLASSIC 7,COMBINED,16
IQOS CAP STEEL BLUE( 3),COMBINED,23
FINE MENTHOL,COMBINED,12
PEGAS -,COMBINED,7
FLEUR DU PAYS NO.1,COMBINED,18
IQOS ILUMA ONE NEON,COMBINED,19
ETTAN LOOSE S2,COMBINED,14
RED BULL BLOND,COMBINED,14
WINSTON PREMIUM QUALITY FRESH,COMBINED,29
LIL SOLID ES WHITE CAP,COMBINED,22
NOBEL LIMITED EDITION,COMBINED,21
WINSTON (WHITE-RED),COMBINED,19
IPUFFER STANDARD PEACH ICE 20MG,COMBINED,31
STLTH MINT 18ML,COMBINED,15
LIL HYBRID 3.0,COMBINED,14
IQOS ILUMA DAILY CASE STARDRIFT,COMBINED,31
ZHONG NAN HAI LIGHTS,COMBINED,20
MONT BLANC BLUE,COMBINED,15
AROMA KING STANDARD 700 RED APPLE ANISE 20MG,COMBINED,44
SIESTA -,COMBINED,8
AROMA KING STANDARD 700 STRAWBERRY BANANA 20MG,COMBINED,46
NAZIONALI -,COMBINED,11
CIGARONNE EXCLUSIVE,COMBINED,19
POINT MIDDLE,COMBINED,12
TURNER VIRGINIA,COMBINED,15
VEEV NOW YELLOW-GREEN 3.5% 6ML,COMBINED,30
DOUBLE HAPPINESS SUPREME,COMBINED,24
BRUSKO FLEXUS Q,COMBINED,15
MANO HALFZWARE,COMBINED,14
CAMEL ORIGINAL BLACK,COMBINED,20
LD AUTOGRAPH RED,COMBINED,16
NZ GOLD,COMBINED,7
MULTIPLE BRAND FAMILIES -,COMBINED,25
SILVER MINT SILVER MINT,COMBINED,23
WEST BLUE SL,COMBINED,12
LAVIE BAR SCP,COMBINED,13
LUCKY STRIKE AROMA BROWN,COMBINED,24
FLOW LUSH ICE ETERNITY 7K,COMBINED,25
HYDE NB PEACH MANGO WATERMELON,COMBINED,30
UP STYLE SMOOTH,COMBINED,15
VATRA LIGHTS,COMBINED,12
GARUDA -,COMBINED,8
DULLAHS -,COMBINED,9
STATE EXPRESS 555 GOLD PEARL,COMBINED,28
TEMPO MASSIMO PACE,COMBINED,18
DRINA DENIFINE,COMBINED,14
MORTIMER LIGHTS,COMBINED,15
GLAMOUR ULTRA LIGHTS,COMBINED,20
CITY HALL FINE TASTE,COMBINED,20
HOLIDAY KINGS 6,COMBINED,15
VINH HOI -,COMBINED,10
KING'S PURPLE PLUS,COMBINED,18
IQOS RED 2.4PLUS,COMBINED,16
JADE LA BLEUE,COMBINED,13
STERLING LIGHTS,COMBINED,15
ONE GUL,COMBINED,7
VOGUE SKY,COMBINED,9
WEST ICE CHILL,COMBINED,14
TABACA -,COMBINED,8
KENT NANOTEK 1,COMBINED,14
GLAMOUR LILAC,COMBINED,13
LD AUTOGRAPH CLUB COMPACT SILVER,COMBINED,32
KING'S SUPERIOR,COMBINED,15
HYDE NB RAINBOW,COMBINED,15
ESSE EXCHANGE CLUB,COMBINED,18
INSTYLE PINK,COMBINED,12
LORD EXTRA LIGHTS,COMBINED,17
LIL SOLID 3.0 LEATHER SLEEVE NAVY,COMBINED,33
TOW.CSONGOR -,COMBINED,13
BELVEDERE SELECT SUPEROLL 200 II,COMBINED,32
TOLTECS -,COMBINED,9
FLORINT MENTHOL,COMBINED,15
SOBRANIE LONDON GOLD,COMBINED,20
URAL -,COMBINED,6
ELFBAR EPP STRAWBERRY GRAPE 20MG,COMBINED,32
VIRGINIA S. ACCENT 6,COMBINED,20
EVA SLIMS (RED),COMBINED,15
ZYN EXOTIC MANGO S3,COMBINED,19
AROMA KING GEM MR BLUE 20MG,COMBINED,27
DUNHILL ORIENT 1MG,COMBINED,18
WINSTON CODE AQUA,COMBINED,17
CHESTERFIELD NATURAL,COMBINED,20
CARLTON SUPERKINGS (RED),COMBINED,24
ELIXYR WHITE TRIBAL,COMBINED,19
CHESTERFIELD ORIGINAL RED,COMBINED,25
DUTCH MASTERS CREMA DOLCE,COMBINED,25
WEST MIDI BRIGHT SILVER,COMBINED,23
WALDORF CABINET,COMBINED,15
WESTERN -,COMBINED,9
DENIM CLASSIC BLEND,COMBINED,19
NOVO BAR STICK MENTHOL 20MG,COMBINED,27
BONDS BY IQOS 1.6 OCEAN BLUE,COMBINED,28
MEMPHIS CLASSIC,COMBINED,15
ROTHMANS PALL MALL EXTRA LONG,COMBINED,29
UNBRANDED TRAY RED BROWN,COMBINED,24
FEUIL D'OR DARK,COMBINED,15
AKHTAMAR NANOKING SILVER FLAME,COMBINED,30
LD CLUB (SILVER),COMBINED,16
H. WINTERMANN VANILLA,COMBINED,21
ALLO MINT 8ML,COMBINED,13
NATURAL AMERICAN SPIRIT GREEN,COMBINED,29
ORIS (BROWN),COMBINED,12
GUDANG CAPING -,COMBINED,15
LAMBERT & BUTLER BLUE REAL BLUE,COMBINED,31
VELO HUGO XSTRONG S4,COMBINED,20
YORCK -,COMBINED,7
NEXT/DUBLISS AROMA BROWN,COMBINED,24
SIGNATURE FLAME,COMBINED,15
YEREVAN -,COMBINED,9
HOLIDAY KINGS GOLD,COMBINED,18
PALL MALL S LINE FLOW TURQUOISE,COMBINED,31
CORONAS AMERICAN BLEND SILVER,COMBINED,29
KENT STICKS TOBACCO,COMBINED,19
ICE VAPE BANANA,COMBINED,15
ARGUMENT -,COMBINED,10
KERANIS G.T.I,COMBINED,13
SWAVE FACTORY BATCH III S3,COMBINED,26
PIANISSIMO AROMATIC LUCIA 5,COMBINED,27
ARIEL -,COMBINED,7
ARISTA -,COMBINED,8
MM (BLUE),COMBINED,9
GAULOISES SOURCE BRONZE,COMBINED,23
AROMA KING GEM BOX BLUEBERRY ICE 20MG,COMBINED,37
FOCUS MINT,COMBINED,10
VERSO APRICOT,COMBINED,13
CAMEL FILTERS LONGS,COMBINED,19
SUN MOON -,COMBINED,10
MAJESTIC (BLUE),COMBINED,15
HOLLAND BLENDED,COMBINED,15
CAMEL MENTHOL YELLOW,COMBINED,20
INFLAVE SOUR APPLE 2%,COMBINED,21
APOLLO SOYUZ LIGHTS,COMBINED,19
NATURAL AMERICAN SPIRIT MENTHOL ONE,COMBINED,35
WINNER MILD,COMBINED,11
CHEYENNE PEACH,COMBINED,14
GLO (BLACK 2.0),COMBINED,15
FORTUNA RED LINE XL,COMBINED,19
AROMA KING GEM PASSION FRUIT KIWI GUAVA 20MG,COMBINED,44
PALL MALL CLICK ON AMBER,COMBINED,24
GOLDEN BROWN -,COMBINED,14
KNIGHTS GO SMOOTH 64MM,COMBINED,22
WINDSOR BLUE SUPERKINGS LIGHTS,COMBINED,30
PRABU (SKT),COMBINED,11
WIN WIN KRETEK TEH MANIS,COMBINED,24
STIG TOBACCO 3.6ML,COMBINED,18
DUNHILL FINE CUT ONE REMIX,COMBINED,26
VEEV NOW LEMON LIME 1.8% 2ML,COMBINED,28
BORN THE CRATER (RED),COMBINED,21
ROTHMANS TOPAZ,COMBINED,14
VERSION (SKT),COMBINED,13
HOTSPOT TROPICAL PINEAPPLE 2%,COMBINED,29
IMPERIAL RED SL,COMBINED,15
CONTINENT RED,COMBINED,13
KARELIA OME MENTHOL,COMBINED,19
MILD SEVEN SCENIC,COMBINED,17
DUNHILL FINE CUT INFINITE,COMBINED,25
TEKEL 2000 LACIVERT DK,COMBINED,22
OSCAR BLACK,COMBINED,11
DOVE PLATINUM,COMBINED,13
DAVIDOFF REACH CORAL,COMBINED,20
RELX TANGY PURPLE 3%,COMBINED,20
SOPIANAE VILAGOSKEK KAPSZULA,COMBINED,28
JPS BLUE,COMBINED,8
RICHLAND ORIGINAL,COMBINED,17
KISS MENTHOL 1,COMBINED,14
MORO AUTHENTIC,COMBINED,14
ZIGGY ORIGINAL BLEND,COMBINED,20
PRIMA HOLLOW TUBE,COMBINED,17
BLAST MILD,COMBINED,10
LOGIC COMPACT EXOTIC MANGO 2.9%,COMBINED,31
ROGUE CITRUS 3MG,COMBINED,16
IGEN LUXURY BLEND,COMBINED,17
21 VEK 1,COMBINED,8
LINCOLN -,COMBINED,9
AROMA KING TABOO PEACH ICE 20MG,COMBINED,31
ROTHMANS FULL BLUE,COMBINED,18
WAY -,COMBINED,5
TITAN FORTE,COMBINED,11
CONSUL LIGHTS,COMBINED,13
CIGARSON BERRY,COMBINED,14
R6 BLUE,COMBINED,7
NOSTALGIYA -,COMBINED,12
ALBATROS -,COMBINED,10
WHITE OWL DUOS COCONUT/RUM,COMBINED,26
MARK ADAMS BLACK,COMBINED,16
VEEV NOW ULTRA BLACK CURRANT 1.8% 2ML,COMBINED,37
COROLLA DELUXE,COMBINED,14
LUCKY STRIKE BURLEY,COMBINED,19
FUSION 3MG,COMBINED,10
FREGATA -,COMBINED,9
AROMA KING IUNI APPLE MELON 20MG,COMBINED,32
SWOJAK -,COMBINED,8
DJIRAK SUPER,COMBINED,12
SHE DELICIOUS,COMBINED,13
TWILIGHT NO.3,COMBINED,13
ZONE X FUJI ZING S4,COMBINED,19
DJI SAM SOE FINE,COMBINED,16
PARLIAMENT,BRAND_FAMILY,10
WAKA,BRAND_FAMILY,4
CRAVEN A,BRAND_FAMILY,8
RIZLA,BRAND_FAMILY,5
LARK,BRAND_FAMILY,4
MELIA,BRAND_FAMILY,5
PANNONIA,BRAND_FAMILY,8
AROMA KING IUNI,BRAND_FAMILY,15
TEKAD,BRAND_FAMILY,5
MAROCAINE,BRAND_FAMILY,9
MISSISIPI,BRAND_FAMILY,9
MIXTERY,BRAND_FAMILY,7
SACRAMENTO,BRAND_FAMILY,10
BACIO,BRAND_FAMILY,5
NIRVANA,BRAND_FAMILY,7
TROPICAL,BRAND_FAMILY,8
DOINA,BRAND_FAMILY,5
PARTAGAS,BRAND_FAMILY,8
SAMODRA,BRAND_FAMILY,7
DJEMBE,BRAND_FAMILY,6
GLENVILLE,BRAND_FAMILY,9
STARA FORTEZIA,BRAND_FAMILY,14
GUNUNG SLAMET,BRAND_FAMILY,13
BAX,BRAND_FAMILY,3
BERKUT,BRAND_FAMILY,6
SRI,BRAND_FAMILY,3
SULLIVAN & POWELL,BRAND_FAMILY,17
FARAON,BRAND_FAMILY,6
CALM,BRAND_FAMILY,4
IOAN IV,BRAND_FAMILY,7
FREE BLEND,BRAND_FAMILY,10
MEMORY,BRAND_FAMILY,6
DELMAR,BRAND_FAMILY,6
VARSITY,BRAND_FAMILY,7
RANVIR,BRAND_FAMILY,6
ULTRA,BRAND_FAMILY,5
SOYMAS (FOOD ),BRAND_FAMILY,14
OTCHIZNA,BRAND_FAMILY,8
TAKUMI,BRAND_FAMILY,6
LOWENBRAU (BEER),BRAND_FAMILY,16
FRESH (FOOD ),BRAND_FAMILY,13
GVARDEISKIE,BRAND_FAMILY,11
EL PASO,BRAND_FAMILY,7
MILAN (FOOD ),BRAND_FAMILY,13
MURATTI,BRAND_FAMILY,7
MORE,BRAND_FAMILY,4
SELECT,BRAND_FAMILY,6
COLUMBUS,BRAND_FAMILY,8
ASSOS INTERNATIONAL,BRAND_FAMILY,19
SANTA JUSTA,BRAND_FAMILY,11
ARES,BRAND_FAMILY,4
CHEE TAH,BRAND_FAMILY,8
VXR,BRAND_FAMILY,3
FANTASIA,BRAND_FAMILY,8
LINDA,BRAND_FAMILY,5
CARROLLS,BRAND_FAMILY,8
MEXIKO,BRAND_FAMILY,6
GOMBEY,BRAND_FAMILY,6
STOPFTABAK,BRAND_FAMILY,10
DIMITRINO,BRAND_FAMILY,9
