matched_products_per_image.csvIMAGE_ID,RAW_TEXT,BRAND_FAMILIES_FOUND,DIFFERENTIATORS_FOUND,FULL_PRODUCT_MATCHES,CONFIDENCE_SCORE
00PdP000006BWXOUA4_Image_Response_a0Z4H00000axbULUAY,SMOKING  SMOKI  KILLS  KILLS  P  P2  PARLIAMENT  PARLIAMENT  ORIGINAL RECESSED FILTER  FILTER  AQUA BLUE  SILVER BLUE  ESTD  1931  ESTD 1931  FIFTH AVENUE NEW YORK  FIFTH AVENUE  NEW YORK  SMOKING  NS  SERIOUSLY HARMS  SMOKING  RS  YOU AND OTHERS    AROUND YO  KILLS  PARLIAMENT  F  SILVER BLUE  P  200S  2  AED 139  A  USD 3861  US  WWWDUBAIDUTYFREECOM  ORIGINAL  AQUA  BLUE  SILVER  FIFTH  AVENUE  NEW  YORK  AVENUE   SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  AED  139  USD  3861,PARLIAMENT,"AQUA, BLUE, FILTER, ORIGINAL, SILVER",,7
00PdP0000047StQUAU_Image_Response_a0Z4H00000axbUQUAY,MAI  SMOKING  KILLS  TOUCH  MANTHARD  SMOKING  KILLS  TOUCH  MARLBORO  TOUCH  200S  AED 123  USD 3417  WWWDUBAIDUTYFREECOM  MARLBORN  FOR    CARTINA   ANY      THE  MARLBORO  BAR 4MG  TING  GARBOUR     AND   TAX 4 MG  WINSTON 94 MG  LEAS SMOT  MARLBORO  CARBON  MONOXIDE MG  SCIENCE  MARLBORO  TAR MG  NICOTINE 04 MG  AED  123  USD  3417  TAR  NICOTINE  04,MARLBORO,TOUCH,,3
00P4H00001mOyygUAC_Image_Response_a0Z4H00000axbUNUAY,SMOKING  ICE DOUBLE  KILLS  H  YO  MOKING  3RD  ERIOUSLY  HARMS  YOU AND  OTHERS  AROUND  V  MURLBORO  MARLBORO  DOUBLE ICE  DOUBLE ICE  600S  BUY  AED 346  CARTONS AND GET 10 OFF  USD 9611  A  BUY  CARTONS AND GET 15 OFF  WWWDUBAIDUTYFREECOM  SMOKING CAUSES EARLY DEATH SS SSSS  SS  MURIBORO  KILLS  ICE  DOUBLE  YOU  AND  DOUBLE  ICE  AED  346  CARTONS  GET  10  OFF  USD  9611  15  CAUSES  EARLY  DEATH  SS  SSSS  SS,MARLBORO,,,2
00PdP000006Ayh3UAC_Image_Response_a0Z4H00000axbUOUAY,  CAN SKYU  11  W  THE  THE  SMOKING  NS  SERIOUSLY  HARMS  YOU AND  MURLBARA  OTHERS  AROUND  YOU  MARLBORO  DOUBLE ICE  600S  AED 361  USD 10028  WWWDUBAIDULYFREECOM  SMOKING  MARTHAN  KILLS  DO  AND  DOUBLE  ICE  AED  361  USD  10028,MARLBORO,,,2
00P4H00001mRVBzUAO_Image_Response_a0Z4H00000axbUJUAY,U   CART  GOLD  OF  SMOKING  MANTHORO  SERIOUSLY  HARMS  YOU AND  OTHERS  AROUND  GOLD  YOU  SELECTED FINE TOBACCOS  3  3  SMOKING  MARLBORO  SERIOUSLY  HARMS  YOU AND  M  OTHERS  AROUND  GOLD  YOU  SEL  MARLBORO  GOLD  DDF  600S  DDF  AED 335  USD 9306  WWWDUBAIDUTYFREECOM  KIIIS  CART  AND  SELECTED  TOBACCOS  AED  335  USD  9306,MARLBORO,GOLD,,3
00P4H00001ll5aaUAA_Image_Response_a0Z4H00000axbUMUAY,CMC  FULL OF SURPRISES  SMOKE  SMELL CONTROL  EVOKE  SMOKING  DONTHOL BUS  SMOKI  SMOKING  SERIOUSLY HARMS  SERIOUSLY HARMS  KILLS  MARLBORO  YOU AND OTHERS  MARIBORO  YOU AND OTHERS  AROUND YOU  VISTA  AROUND YOU  VISTA  TROPICAL SPLASH  TROPICEL SPLACH  SMELL SMOKE  SMELL SMOKE  CONTROL  CONTROL  S  LIF  TROPICAL SPLASH  MASTBORO  SMOKI  S  MARTBORO  NEW  VISTA  KILLS  VISTA  VISTA  TROPICALSPLASH  SMOKING  TROPICAL SPLASH  KILLS  CONTROL SMELL SMOKE  DOUBLECAPSULE  SMOKING CAUSES EARLY DEATH  MARLBORO  SMOKING  SERIOUSLY HARM  GULIA  MARLBORO VISTA  YOU AND OTHERS  TROPICAL SPLASH  AROUND YOU  VISTA  200S  TROPICAL SPLASH  AED 127  USD 3528  WWWDUBARDUTYFREECOM  LBORO CAPSULES CARTONS AND GET 10 OFF  AED 127  USD  FULL  SURPRISES  SMELL  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  TROPICAL  SPLASH  CAUSES  EARLY  DEATH  HARM  MARLBORO  TROPICAL  SPLASH  AED  127  USD  3528  CAPSULES  CARTONS  GET  10  OFF  AED,MARLBORO,,,2
00PdP000000776SUAQ_Image_Response_a0Z4H00000axbUOUAY,SMOKING  MARIBORO  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  TOUCH  CARTONS TOUCH  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  CARTONS  VALLERA  SMOKING  MARLBORO  TOUCH  TOUCH  400S  DDF  AED 234  USD 6500  WWWDUBAIDUTYFREECOM  SILVER   FALTER  MARLBORO  SMART  SEAL  ALIVA  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  AED  234  USD  6500,MARLBORO,"SILVER, TOUCH",,4
00P4H00001nIyf5UAC_Image_Response_a0Z4H00000axbUNUAY,PARLIAMENT  PARLIAMENT  NE TROONS TEGRA  SILVER BLUE  PLATINUM  MENT  PARLIAMENT  FOR DUTY FREE SALE ONLY  1911  20  TA30337702  MISTER  FOR DUTY FREE SALE ONLY    LIAMENT  I   I   D  PARLIAMENT PLATINUM  100  AMG A  AQUA BLUE  PARLIAMENT  IAMENT    HAVE WILL  RECESSIOTALTER    FREE SALE  P  PARLIAMENT  PARLIAMENT  ORIGINAL RECESSED FILTER  ORIGINAL RECESSED FILTER  SILVER BLUE  SILVER BLUE  RECESSEDFILTER  MADE UNDER AUTHORITY OR PHILIP MORRIS BRANDS SARI  ESTD 1931  PARLIAMENT SILVER BLUE  ESTD 19313  FIFTH AVENUE NEW YORK  FIFTH AVENUE NEW YORK  SMOKING  SMOKING  SERIOUSLY HARMS  THERS  SSSS  PARLIAMENT  SILVER BLUE  200S  AED 139  USD 3861  WWWDUBAIDUTYFREECOM  SILVER  BLUE  FOR  DUTY FREE  SALE  ONLY  DUTY  FREE  AQUA  ORIGINAL  FILTER  RECESSED  UNDER  AUTHORITY  PHILIP  MORRIS  BRANDS  ESTD  1931  FIFTH  AVENUE  NEW  YORK  SERIOUSLY  HARMS  AED  139  USD  3861,"PARLIAMENT, PHILIP MORRIS","AQUA, BLUE, FILTER, ORIGINAL, PLATINUM, SILVER","PARLIAMENT PLATINUM, PARLIAMENT SILVER",16
00P4H00001mR38yUAC_Image_Response_a0Z4H00000axbULUAY,PA  11  2 OFFER  SMOKING  PARLIAMENT  ORIGINAL RECESSED FILTER  FIFTH AVENUE  NE  AGAA BLUE  KILLS  PLATINUM  EXPORT 1931  FOTTE AUTHOR NEW  1931 ESTO  MENT  2FU OFFER  SMOKING  PARLIAMENT  SERIOUSLY HARMS  AQUA BLUE  YOU AND OTHERS  SMOKING  ORIGINAL RECESSED FILTER  AROUND YOU  D 1931  KILLS  NEW YOR  2NDER OFFER  PARLIAMENT  SMOKING  AQUA BLUE  ORIGINAL RECESSED FILTER  KILLS  ESTD 1931  PARLIAMENT  AQUA BLUE  400S  AED 252  USD 7000  WWWDUBAIDUTYFREECOM  AQUA BLUE  PARLIAMENT  OFFER  AQUA BLUE  2ND  2  SMOKING  PARLIAMENT  ORIGINAL  FILTER  FIFTH  1931  SERIOUSLY  HARMS  AQUA  BLUE  YOU  AND  OTHERS  AROUND  AED  252  USD  7000,PARLIAMENT,"AQUA, BLUE, FILTER, ORIGINAL, PLATINUM",,7
00P4H00001nIytoUAC_Image_Response_a0Z4H00000axbUNUAY,CARTONS  SMOKI  SERIOUS  HARMS  MA  YOU AND  OTHERS  AROUND  MARLBORO  DOUBLE MIX  600S  AED 361  USD 10028  WWWDUBAIDUTYFREECOM  SOL SHUFFLE  MARIDON  SOL SHUFFLE    SMOKING  WHEN PREGNANT  HARMS  SMOKING  YOUR BABY  SMOKING  KILLS  KILLS  YOU  AND  DOUBLE  MIX  AED  361  USD  10028  SOL  SHUFFLE  WHEN  PREGNANT  YOUR  BABY,MARLBORO,"MIX, SHUFFLE",,4
00PdP00000069zxUAA_Image_Response_a0Z4H00000axbUPUAY,MA  DOU  DOUBLE FUSION  DOUBLE FUS  SUM  SUMMER  SUMMER  SMOKING  SMOL  SA  SERIOUSLY HAR  Y  YOU AND OTHE  SMOKING  SERIOUSLY  AROUND YOU  YOU AND  KILLS  AROUND  GRONUQ  MANHARO  MANHBORO  MANHBORN  DOUBLE FUSION  DOUBLE FUSION  DOUBLE FUSION  SUMMER  SUMMER  SUMMER  SMOKING  SMOKING  SMOKING  SERIOUSLY HARMS  SERIOUSLY HARMS  SERIOUSLY HARMS  YOU AND OTHERS  YOU AND OTHERS  AROUND YOU  YOU AND OTHERS  AROUND YOU  AROUND  OU  MARLBORO  DOUBLE FUSION  200S  AED 132  USD 3667  DOUBLE  FUSION  FUS  YOU  AND  OTHE  HARMS  OTHERS  DOUBLE  FUSION  AED  132  USD  3667,MARLBORO,,,2
00P4H00001mRUlvUAG_Image_Response_a0Z4H00000axbUKUAY,YOUR DOCTOR  MARLBOR  RED  2009  MARLBORO  AN    AED 190  USD 5250  BELECTED PREMIUM TOBACCOS  M  MAP  MAELBOGA  SMOKING MAY  SMOKING  REDUCE  MARKERB  AMERICA  ERIOUSLY HARMS  THE BLOOD FLOW  YOU AND OTHERS  AND CAUSES  AROUND YOU  IMPOTENCE  MARLBORO  SELECTED PREMIUM TOBACCOS  SMOKING  SMOKING  SERIOUSLY HARMS  KILLS  YOU AND OTHERS  M  AROUND YOU  PREMIUM TOBACCO  SMOKIN  CAUSES FA  DES AND  LUNG CANC  FROM IN SOFT START TOUCH TO FINISH PACK  LEVAL CHANGE  XO  A CONSISTENT TASTE EXPERIENCE  FROM START TO FINISH  ROUND  IN A SOFT TOUCH PACK  EXPERIENCE  THE  CONSISTENT  V  T  UN  SMOKING  SMOKING  CAUSES  SERIOUSLY HARMS  MURIBORO  YOU AND OTHERS  YOUR  DOCTOR  AED  USD  5250  PREMIUM  MAY  ERIOUSLY  HARMS  THE  BLOOD  FLOW  YOU  AND  OTHERS  AROUND  SERIOUSLY  TOBACCO  LUNG  CANC  FROM  SOFT  START  TOUCH  FINISH  PACK  TASTE,MARLBORO,"RED, TOUCH",,4
00P4H00001mRV7rUAG_Image_Response_a0Z4H00000axbULUAY,VILLE  GARLBORO  MARLBORO  DOUBLE ICE  DOUBLE ICE  MARLBORO  DOUBLE ICE  DDF  SMOKING  MS  200S  SERIOUSLY HARMS  ERS  AED 127  USD 3528  YOU AND OTHERS  WWWDUBAIDUTYFREECOM  AROUND YOU  BLOSSOM FUSION  DOUBLE  ICE  DOUBLE  ICE  SERIOUSLY  HARMS  AED  127  USD  3528  YOU  AND  OTHERS  AROUND  BLOSSOM  FUSION,MARLBORO,,,2
00P4H00001lmFN1UAM_Image_Response_a0Z4H00000axbULUAY,UNTHURO P106  SMOKING  SERIOUSLY HARMS  M  YOU AND OTHERS  AROUND YOU  MA  MARLBORO  SMOKING  KILLS  GOLD  FIAM  P106  YOUR SMOKE  MARTBORO  BREATHE  MAKE THEM  CHILDREN DONT  PROTECT  MA  MARLBORO GOLD  SMOKI  SMOKING  IS HIGH  SERIOUSLY HARMS  YOU AND OTHERS  ADDICTIV  AROUND YO  DONT STATE  MARLBORO  GOLD  200S  AED 123  USD 3417  WWWDUBARDUTYFREECOM  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  YOUR  SMOKE  MAKE  THEM  CHILDREN  DONT  HIGH  AED  123  USD  3417,MARLBORO,GOLD,MARLBORO GOLD,6
00P4H00001nIeEXUA0_Image_Response_a0Z4H00000axbUJUAY,MARIBOR  MURIOWUP  MARINA  DOUBLE MIX  DOUBLE MIX  DOUBLE MIX  DOUBLE MIX  SMOKING  SMOKING  SMOKING  SMOKING  SERIOUSLY HARMS  SERIOUSLY HARMS  SERIOUSLY HARMS  YOU AND OTHERS  YOU AND OTHERS  KILLS  YOU AND OTHERS  AROUND YOU  AROUND YOU  AROUND YOU  ALONUA   KILLA  GIANUQ DEFI  KILLA  AOD 30G OFFICIAL    BAGGUS  100  56  KUE  A  A00  GIL  RON ALL  USIE  2UOT  IGLA  261  APT  KILD  WA  IT    PST  DOUBLE MI  MURTHOR  MURTBORN  MA  NOKIN  DOUBLE MIX  DOUBLE MIX  KILLS  SMOKING  SMOKING  SMOLE  SERIOUSLY HARMS  YOU AND OTHERS  KILLS  KILL  MARLBORO  DOUBLE MIX  200S  AED 132  USD 3667  WWWDUBAIDUTYFREECOM   CART ONE  DOUBLE  MIX  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  DOUBLE  MIX  AED  132  USD  3667,MARLBORO,"MIX, ONE",,4
00PdP000003a5u0UAA_Image_Response_a0Z4H00000axbUOUAY,MARLBORO  ALBORO  MANHAMAL  DOUBLE FUSION  DOUBLE FUSION  DOUBLE FUSION  SUMMER  SUMMER  SUMMER  SMOKING  SMOKING  SMOKING  SERIOUSLY HARMS  RIOUSLY HARMS  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  OU AND OTHERS  YOU AND OTHERS  AROUND YOU  AROUND YOU  SIONUA   MARLBORO  MANHBARO  DOUBLE FUSION  DOUBLE FUSION  DOUBLE FUSION  SUMMER  SUMMER  SUMMER  SMOKING  SMOKING  SMOKING  SERIOUSLY HARMS  SERIOUSLY HARMS  SERIOUSLY HARMS  YOU AND OTHERS  YOU AND OTHERS  YOU AND OTHERS  AROUND YOU  AROUND  U  MARLBORO  DOUBLE FUSION  200S  AED 132  USD 3667  WWWDUBARDUTYFREECOM  DOUBLE  FUSION  SERIOUSLY  HARMS  RIOUSLY  YOU  AND  OTHERS  DOUBLE  FUSION  AED  132  USD  3667,MARLBORO,,,2
00P4H00001lmLOXUA2_Image_Response_a0Z4H00000axbUNUAY,B16B32DF  THE  R1B13  14  MARLBORO  EA  TERE  TEREA  WITH ICOS IL  WORKS ONLY WITH IQC  WORKS ONLY WITH IQOS ILUMA  FREE A  S ADDIC  THIS PRODUCT IS NOT RISK FREE  THIS PRODUCT IS NOT RISK FREE AND  CONTAINS NICOTINE WHICH IS ADDICTIVE  CONTAINS NICOTINE WHICH IS ADD  TEREA  TERE  WORKS ONLY WITH IQOS ILUMA  WORKS ONLY WITH ICOS  THIS PRODUCT IS NOT RISK FREE AND  THIS PRODUCT IS NOT RISK FREE A  CONTAINS NICOTINE WHICH IS ADDICTIVE  CONTAINS NICOTINE WHICH IS ADDIC  TEREA  TEREA  RE  SIENNA  WORKS ONLY WITH ICOS ILUMA  200S  WORKS ONLY WITH ICOS ILU  DDI  THIS PRODUCT  WITH  WORKS  ONLY  IQOS  ILUMA  FREE  ADDIC  THIS  PRODUCT  NOT  RISK  AND  CONTAINS  NICOTINE  WHICH  ADDICTIVE  ADD  ICOS  ILU,MARLBORO,,,2
00PdP000002261nUAA_Image_Response_a0Z4H00000axbUPUAY,MARTHA  DOUBLE MIX  MARCHAN  DOUBLE MIX  SMOKING  SERIOUSLY HARM  YOU AND OTHER  AROUND YOU  SMOKING  SER  TOM  SABOR  YOU  KILLS  AR  MARLBORO  DOUBLE MIX  200S  AED 132  USD 3667  WWWDUBAIDUTYFREECOM  MARLBORA  SMOKING  SERIOUSLY HAR  YOU AND OTHER  YOU  DOUBLE  MIX  SERIOUSLY  HARM  AND  OTHER  AROUND  DOUBLE  MIX  AED  132  USD  3667,MARLBORO,MIX,,3
00P4H00001mt924UAA_Image_Response_a0Z4H00000axbUJUAY,TEREA BLUE  AED 144  USD 4000  MANS MICOTINE WHICH IS ADDICTIVE  PRODUCT IS NOT RISK FREE AND  IQOS  PRODUCT IS NOT RISK FREE AND  NICOTINE WHICH IS ADDICTIVE  TEREA  TEREA  60 ILUMA  COS ILUMA  TEREA  TEREA  BLUE  BLUE  WORKS ONLY WITH 1005 ILUMA  WORKS ONLY WITH IOOE LUMA  TEREA  TEREA  BLUE  BLUE  WORKS ONLY WITH IDUMILUMA  WOCKS ONLY WITH ILUMA  TEREA  TEREA  BLUE  BLUE  WORKS ANY  CTIVE  ND  TEREA  TEREA  WORLD AND   CREA  TEREA  THE  AED  144  USD  4000  WHICH  ADDICTIVE  PRODUCT  NOT  RISK  FREE  AND  ILUMA  WORKS  ONLY  WITH,,BLUE,,1
00PdP000003mGGtUAM_Image_Response_a0Z4H00000axbUJUAY,ITS ABOUT TO  WAY BETTER  OS  PRO  11    SMOKING  NG  ATONS  SERIOUSLY  SLY  HARMS  S  ND  YOU AND  A  OTHERS  RS  BOX  AROUND  ND  U  YOU  25MG  PREMIUM  SE  R  CARTONS  3  OKING  SMOKING  IOUSLY  THERS  NUTHMO  SERIOUSLY  ARMS  HARMS  U AND  YOU AND  MH  OTHERS  ROUND  AROUND  YOU  MARLBORO  RED  600S  DDF  AED 350  USD 9722  WWWDUBAIDUTYFREECOM  CARTONS  U  CARTONS  Z  SMOKING  KILLS    CARTONS  SMOKING  CARTONS  SMOKING  N  ABOUT  WAY  AND  AED  350  USD  9722,MARLBORO,RED,,3
00PdP000003lvlvUAA_Image_Response_a0Z4H00000axbUOUAY,YOU  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  LUNA SHUFFLE  MENTHOL  IN  INHANDOM MIX OF 3 CAPSULES  GLONUQ ON  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  LUNA SHUFFLE  MARLBORO  LUNA SHUFFLE  200S  AED 132  USD 3667  WWWDUBARDUTYFREECOM  KM  W  CARTONS  MARLB  SERIOUSLY  HARMS  AND  OTHERS  AROUND  LUNA  SHUFFLE  MIX  CAPSULES  LUNA  SHUFFLE  AED  132  USD  3667,MARLBORO,"MENTHOL, MIX, SHUFFLE",,5
00PdP0000047NyfUAE_Image_Response_a0Z4H00000axbUNUAY,LM  LSM  LSM  LM   MG  WB  WA  LM   AGREE MY  BLUE LABEL  WITH  LM  LM  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  FINE TOBACCOS  AROUND YOU  WT  FINELY CUT  EM  LM  LIGGETO MY  BLUE LABEL    MT  LM  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  FINE TOBACCOS  AROUND YOU  FINELY CUT  LM  WT  LM  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  FINE TOBACCOS  FINELY CUT  AROUND YOU  LM  BLUE  200S  AED 100  USD 2778  WWWDUBARDUTYFREECOM  OKING  LM  SMOKING  SERIOUSLY HARMS  ILLS  YOU AND OTHERS  AROUND YOU  ISAM  MOKING  BLUE  SERIOUSLY  HARMS  YOU  AND  OTHERS  FINE  TOBACCOS  AROUND  FINELY  CUT  LABEL  AED  100  USD  2778,LM,BLUE,,3
00P4H00001mQrnvUAC_Image_Response_a0Z4H00000axbUMUAY,SMOKING  IS HIGHLY  URLBARO  ADDICTIVE  MARIBORO  DONT START  DOUBLE ICE  DOUBLE ICE  MLLLOL  3  S  S  Y  0  MARLBARN  O  AR  MARLBORO  DOUB  ICE  DOUBLE ICE  600S  AED 346  USD 9611  WWWDUBAIDUTYFREECOM  IS  HIGHLY  DONT  START  DOUBLE  DOUBLE  ICE  AED  346  USD  9611,MARLBORO,,,2
00P4H00001lmLVGUA2_Image_Response_a0Z4H00000axbULUAY,TEREA  TEREA  WORKS ONLY WITH IQOS ILUMA  WORKS ONLY WITH IQOS ILUMA  SUCCOND  TEREA  TEREA  WORKS ONLY WITH IQOS ILUMA  WORKS ONLY WITH IQOS ILUMA  IS PRODUCT IS NOT RISK FREE AND  THIS PRODUCT IS NOT RISK FREE AND  AINS NICOTINE WHICH IS ADDICTIVE  CONTAINS NICOTINE WHICH IS ADDICTIVE  TEREA  TEREA  WORKS ONLY WITH ICOS ILUMA  WORKS ONLY WITH IQOS ILUMA  H  A  THIS PRODUCT IS NOT RISK FREE AND  THIS PRODUCT IS NOT RISK FREE AND  CONTAINS NICOTINE WHICH IS ADDICTIVE  NTAINS NICOTINE WHICH IS ADDICTIVE  TEREA  TEREA  WORKS ONLY WITH ICOS ILUMA  WORKS ONLY WITH IQOS ILUMA  THIS  WORKS  ONLY  WITH  ILUMA  IQOS  PRODUCT  NOT  RISK  FREE  AND  AINS  NICOTINE  WHICH  ADDICTIVE  CONTAINS  ADDICTIVE,,,,0
00P4H00001lmLBPUA2_Image_Response_a0Z4H00000axbUKUAY,MASBARO  SMOKING  KILLS  WHITE  BLUE  MARBBARN  SMOKING  KILLS  WHITE  MYALBONG  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  MALBORO  WHITE  200S  AED 19845  USD 5512  WWWDUBAIDUTYFREECOM  G  AR 4 MG  INE 03  CARBON  OXIDE 4 N  SERIOUSLY  HARMS  YOU  AND  OTHERS  AED  19845  USD  5512  INE  03,,"BLUE, WHITE",,2
00P4H00001lkxekUAA_Image_Response_a0Z4H00000axbULUAY,TE  TEREA  TEREA  WORKS ONLY WITH IDOS ILUMA  WORKS ONLY WITH IDOS ILUMA  THIS PRODUCT IS NOT RISK FREE AND  THIS PRODUCT IS NOT RISK FREE AND  CONTAINS NICOTINE WHICH IS ADDICTIVE  CC  CONTAINS NICOTINE WHICH IS ADDICTIVE  UCASING 12  AT  BREAM  TEREA  TEREA  WORKS ONLY WITH ICOS ILUMA  WORKS ONLY WITH IQOS ILUMA  THIS PRODUCT IS NOT RISK FREE AND  THIS PRODUCT IS NOT RISK FREE AND  CONTAINS NICOTINE WHICH IS ADDICTIVE  CONTAINS NICOTINE WHICH IS ADDICTIVE  TEREA  TEREA  WORKS ONLY WITH IDOS ILUMA  WORKS ONLY WITH ICOS ILUMA  DT  THIS PRODUCT IS NOT RISK FREE AND  THIS PRODUCT  WORKS  ONLY  WITH  ILUMA  THIS  PRODUCT  NOT  RISK  FREE  AND  CONTAINS  NICOTINE  WHICH  ADDICTIVE  IQOS  ADDICTIVE  IDOS  ICOS,,,,0
00P4H00001mtFOFUA2_Image_Response_a0Z4H00000axbUJUAY,MARLBORO  IQ  SMOKING  ILU  PRI  KILLS  STARD  LIMITED  GOLD  MARLBORN  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  GOLD  MARLHORO  SMOKING  SERIOUSLY HARMS  AND OTHERS  MARLBORO  A  U  GOLD  GOID  200S  AED 123  USD 3417  WE DO NOT SELL TOBACCO OR NICO  WWWDUBAIDUTYFREECOM  NDER  8  S  ELBORO    CHILDREN DONT  RO  PROTECT  FIRM FILTER  MARLBORO  SMART  SEAL  SM  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  AED  123  USD  3417  NOT  SELL  TOBACCO  CHILDREN  DONT  FIRM  FILTER,MARLBORO,"FILTER, GOLD",,4
00P4H00001mtFRsUAM_Image_Response_a0Z4H00000axbUSUAY,AB15B32DF  B12B14  B1  SMOKIN  KILLS  SHUFFLE  RANDOM MIX OF FLAVORS  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  NA SHUFFL  AROUND YOU  SHUFFLE    RANDOM MIX OF FLAVORS  D  TO 5  OI  BNFERENTFLAVORS UP  SHUFFLES  M    AON  DOLLE  SMOKING  MARLBORO  KIIIS  SHUFFLE  200S  DDF  AED 127  USD 3528  WWWDUBAIDUTYFREECOM  L  RANDOM  MIX  FLAVORS  SERIOUSLY  HARMS  YOU  AND  OTHERS  SHUFFL  AROUND  AED  127  USD  3528,MARLBORO,"MIX, SHUFFLE",,4
00P4H00001mP9iSUAS_Image_Response_a0Z4H00000axbUKUAY,LM  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  FINE TOBACCOS  AROUND YOU  FINELY CUT  LM  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  FINE TOBACCOS  AROUND YOU  FINELY CUT  LM  LIGGEN 91 MYERS ON   CO  BLUE LABEL  LM  SMOKING  IGGETT  KILLS  WST  FINE TOBACCOS  FINELY CUT  LM  SMOKING  E  SERIOUSLY HARMS  YOU AND OTHERS  FINE TOBACCOS  FINELY CUT  AROUND YOU  LM  BLUE LABEL  200S  AED 95  USD 2639  WWWDULTANDULYFREECOM  SERIOUSLY  HARMS  YOU  AND  OTHERS  FINE  TOBACCOS  AROUND  FINELY  CUT  BLUE  LABEL  LABEL  AED  USD  2639,LM,BLUE,,3
00PdP000000cbwEUAQ_Image_Response_a0Z4H00000axbUPUAY,PARLIAMENT  PARLIA  LIAMENT  ORIGINAL REC  ORIGINAL RECESSED FILTER  AL RECESSED FILTER  AQUA  AQUA BLUE  AQUA BLUE  ESTD 1931  ESTD 1931  FIFTH AVE  H AVENUE  NEW YORK  FIFTH AVENUE  NEW YORK  SMOKING  SMOKING  SMOK  IOUSLY HARMS  SERIOUSLY HARMS  U AND OTHERS  YOU AND OTHERS  KILL  AROUND YOU  AROUND YOU  PARLIAMENT  PARLIAMENT  PARLIAME  ORIGINAL RECESSED FILTER  ORIGINAL RECESSED FILTER  ORIGINAL RECESSED  AQUA BLUE  AQUA BLUE  AQUA BLUE  ESTD 1931  ESTD 1931  FIFTH AVENUE  NEW YORK  FIFTH  AVENUE  NEW YOU  SMOKING  SMOKING  SMOKING  SERIOUSLY HARMS  SERIOUSLY HAR  YOU AND OTHERS  KILLS  YOU AND OTHE  REUND VOU  AROUND YOU  PARLIAMENT  AQUA BLUE  200S  AED 139  USD 3861  WWWDUBARDUTYFREECOM  ORIGINAL  REC  FILTER  BLUE  ESTD  1931  YORK  AVENUE   NEW  HARMS  SERIOUSLY  AND  OTHERS  YOU  AROUND  NEW YORK  OTHE  AED  139  USD  3861,PARLIAMENT,"AQUA, BLUE, FILTER, ORIGINAL",,6
00PdP000000w1yEUAQ_Image_Response_a0Z4H00000axbULUAY,OWN  I  F  1  I  II  MC  TR  MARLBORO  YOUR DOCTOR  OR YOUR  PHARMACIST  CAN HELP YOU  STOP SMOKING  WHITE  MARTHANO MARLBORO  SMOKING  KILLS  WHITE  200S  AED 19845  USD 5512  WWWDUBAIDUTYFREECOM  MARLBORO  SMOKING  SERIOUSLY HARMS  SMAR  SEAL  YOU AND OTHERS  AROUND YOU  FLIPTOP BOX  MARLBORO  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  YOUR  DOCTOR  YOUR  CAN  HELP  YOU  STOP  SMOKING  MARLBORO  AED  19845  USD  5512  SERIOUSLY  HARMS  AND  OTHERS  AROUND  BOX,MARLBORO,WHITE,,3
00P4H00001mP9i4UAC_Image_Response_a0Z4H00000axbUJUAY,SMOKING  KILLS  CARTONS  2  SMOKING  R A  S  KILLS  S  SELECTED PREMIUM TOBACCOS  Q  KS  ROM MON FIAM FILTER  G  191  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  SELECTED PREMIUM TOBACCOS  CARTONS  2  SMOKING  G  THE  KILLS  MARLBORO  RED  400S  AED 233  USD 6472  WWWDUBAIDUTYFREECOM  SELECTED  PREMIUM  TOBACCOS  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  AED  233  USD  6472,MARLBORO,"FILTER, RED",,4
